! BibleQE Text TOC: King James Version, Pure Cambridge Edition (circa 1900)
! version 0.0.2
Ge 3
Ex 1536
Le 2749
Nu 3608
De 4896
Jos 5855
Jg 6513
Ru 7131
1Sa 7216
2Sa 8026
1Ki 8721
2Ki 9537
1Ch 10256
2Ch 11198
Ezr 12020
Ne 12300
Es 12706
Job 12873
Ps 13943
Pr 16404
Ec 17319
Song 17541
Isa 17658
Jer 18950
La 20314
Eze 20468
Da 21741
Ho 22098
Joe 22295
Am 22368
Ob 22514
Jon 22535
Mic 22583
Na 22688
Hab 22735
Zep 22791
Hag 22844
Zec 22882
Mal 23093
Mt 23148
Mr 24219
Lu 24897
Joh 26048
Ac 26927
Ro 27934
1Co 28367
2Co 28804
Ga 29061
Eph 29210
Php 29365
Col 29469
1Th 29564
2Th 29653
1Ti 29700
2Ti 29813
Tit 29896
Phm 29942
Heb 29967
Jas 30270
1Pe 30378
2Pe 30483
1Jo 30544
2Jo 30649
3Jo 30662
Jude 30676
Re 30701
